,counts,percentage
Total number of applicants,73.0,21.726190476190478
Total number of letters,223.0,21.525096525096522
Average number of letters,3.0547945205479454,99.07441688263606
Average sentence count per letter,19.2152466367713,104.54805690717434
Average word count per letter,356.9237668161435,103.59819079974355
Female,55.0,27.77777777777778
Male,162.0,19.612590799031477
Full professor,41.0,21.243523316062177
Associate professor,39.0,22.413793103448278
Assistant professor,59.0,25.213675213675213
Manager,42.0,17.5
Not applicable/Unknown,42.0,21.53846153846154
